Business Name,Phone,Email,Website,Rating,Reviews,Category,Score,Priority,Tags,Address
"Darius & Sons Plumbing Contractors","(813) 592-5302","","",4.8,109,"Plumber",100,"high","needs-website;established;high-rated;ai-voice-fit;phone-available","8557 West Hillsborough Avenue STE 7863, Tampa, FL 33615"
"INDEPENDENT AIR CONDITIONING, INC.","(813) 421-2247","service@813air.com","http://www.813air.com/",4.9,337,"HVAC contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","3424 E 7th Ave, Tampa, FL 33605"
"Paradise Pools of Tampa Bay","(813) 995-3377","paradisepoolstb@yahoo.com","http://paradisepoolstb.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10840745871859976848",4.9,152,"Swimming pool contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade",""
"Wahoo Pools - Tampa","(813) 699-3282","info@wahoopools.com","http://www.wahoopools.com/",4.8,95,"Swimming pool contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","6657 US-301 S, Riverview, FL 33578"
"Larsen's Pool & Spa","(727) 786-7665","info@larsenspoolandspa.com","http://www.larsenspoolandspa.com/",4.9,194,"Swimming pool contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","9909 Race Track Rd, Tampa, FL 33626"
"Tampa Bay Pools","(813) 684-3639","+FL+33511/@27.9300293","http://tampabaypools.com/",4.5,498,"Swimming pool contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","604 Lithia Pinecrest Rd, Brandon, FL 33511"
"Electrical Handyman Service, Inc.","(813) 901-8185","","",4.8,22,"Electrician",100,"high","needs-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","7046 W Hillsborough Ave, Tampa, FL 33634"
"Aguila Electrical Services Inc","(813) 515-6999","filler@godaddy.com","http://aguilaelectrical.com/",4.9,456,"Electrician",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","5708 N 56th St, Tampa, FL 33610"
"Everyday Electric","(813) 377-7321","j.anderson@everydayelectric.biz","http://www.myeverydayelectric.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing",4.9,76,"Electrician",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","7137 Hamilton Park Blvd, Tampa, FL 33615"
"Groves Electric, Inc.","(813) 789-3400","cgroves@groveselectricinc.com","http://www.groveselectricinc.com/",5,169,"Electrician",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","530 Luzon Ave, Tampa, FL 33606"
"A&A Concrete and Construction Services LLC.","(813) 924-4056","","",3.5,29,"Construction company",100,"high","needs-website;growing;ai-voice-fit;phone-available;high-value-trade","4010 W Cayuga St, Tampa, FL 33614"
"Fleet Concrete Inc","(813) 968-6028","","",4.6,80,"Concrete contractor",100,"high","needs-website;established;high-rated;ai-voice-fit;phone-available","14914 Casey Rd, Tampa, FL 33624"
"Rhino Commercial Roofing","(813) 336-5415","rhinoroofingfl@yahoo.com","http://rhinocommercialroofers.com/",4.7,73,"Roofing contractor",100,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","401 E Jackson St Ste 2340, Tampa, FL 33602"
"Evolve Construction FL","(800) 222-4100","","http://www.evolveconstruction.com/",5,99,"Construction company",95,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;high-value-trade",""
"Optim Build Group","(813) 400-1617","","",5,38,"General contractor",95,"high","needs-website;growing;high-rated;ai-voice-fit;phone-available","14902 North Florida Avenue, Tampa, FL 33613"
"Efficient Tampa HVAC Contractor Solutions","(656) 248-5259","","",5,25,"Contractor",95,"high","needs-website;growing;high-rated;ai-voice-fit;phone-available","716 N Renellie Dr, Tampa, FL 33609"
"Caldeco Air Conditioning & Heating","(813) 254-2211","","http://www.caldeco.com/",4.8,1139,"HVAC contractor",95,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;high-value-trade","1709 N Howard Ave, Tampa, FL 33607"
"Pool Builders Tampa","(813) 422-6620","","",4.8,5,"Swimming pool contractor",95,"high","needs-website;high-rated;ai-voice-fit;phone-available;high-value-trade",""
"Trendsetter Pools","(813) 964-0000","bobbi@trendsetterpools.com","http://www.trendsetterpools.com/",4.2,52,"Swimming pool contractor",95,"high","weak-website;established;ai-voice-fit;phone-available;email-available;high-value-trade","13540 N Florida Ave # 101, Tampa, FL 33613"
"Xecutive Pools, LLC","(813) 298-2218","office@xecutivepools.com","http://www.xecutivepools.com/",3.9,66,"Swimming pool contractor",95,"high","weak-website;established;ai-voice-fit;phone-available;email-available;high-value-trade","13542 N Florida Ave #215, Tampa, FL 33613"
"Galaxy Electrical","(813) 270-5778","","",4.8,12,"Electrician",95,"high","needs-website;high-rated;ai-voice-fit;phone-available;high-value-trade",""
"BATES ELECTRIC","(813) 888-7050","ITDepartment@bateselectric.com","http://bateselectric.com/",4,56,"Electrician",95,"high","weak-website;established;ai-voice-fit;phone-available;email-available;high-value-trade","7901 Hopi Pl, Tampa, FL 33634"
"Howards Electrical Service Co.","(813) 875-1400","rbentz@howelec.com","http://www.howelec.com/",4.5,43,"Electrician",95,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","4616 N Hale Ave, Tampa, FL 33614"
"Red Beard Construction LLC","(727) 851-9885","myproject@rbcprojects.info","http://rbcprojects.info/",5,37,"Construction company",95,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;email-available;high-value-trade","620 Union St, Dunedin, FL 34698"
"Stone Bay Kitchen & Bath","(813) 453-7114","","",5,41,"Kitchen remodeler",95,"high","needs-website;growing;high-rated;ai-voice-fit;phone-available","8013 Benjamin Rd, Tampa, FL 33634"
"Tampa Roof Repair LLC","(813) 413-5115","","http://www.tamparoofrepair.com/",4.9,171,"Roofing contractor",95,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;high-value-trade","13403 Arbor Pointe Cir, Tampa, FL 33617"
"Heaven Sent Construction","(813) 728-1458","","http://www.hsc-fl.com/",5,39,"Construction company",90,"high","weak-website;growing;high-rated;ai-voice-fit;phone-available;high-value-trade","4016 Henderson Blvd, Tampa, FL 33629"
"Tampa Bay Construction, Roofing, HVAC, & Plumbing Services, LLC","(813) 533-0070","info@constructionservicesfl.com","http://www.constructionservicesfl.com/",4.8,91,"General contractor",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","1465 W Busch Blvd, Tampa, FL 33612"
"Total Plumbing Solutions","(813) 935-2733","totalplumbingfl@gmail.com","http://www.totalplumbingfl.com/",4.9,650,"Plumber",90,"high","weak-website;established;high-rated;ai-voice-fit;phone-available;email-available","15901 N Florida Ave, Lutz, FL 33549"
